0,0,0,0
1,1,1,1

0,0.077,0.042,0.206
0.1,0.225,0.036,0.388
0.2,0.373,0.074,0.432
0.3,0.522,0.128,0.42
0.4,0.665,0.182,0.37
0.5,0.797,0.255,0.287
0.6,0.902,0.364,0.184
0.7,0.969,0.516,0.063
0.8,0.988,0.683,0.072
0.9,0.961,0.859,0.298
1,0.988,0.998,0.645

0,0.241,0.015,0.61
0.1,0.387,0.001,0.654
0.2,0.524,0.025,0.653
0.3,0.651,0.125,0.596
0.4,0.752,0.227,0.513
0.5,0.837,0.329,0.431
0.6,0.907,0.435,0.353
0.7,0.963,0.554,0.272
0.8,0.992,0.681,0.195
0.9,0.987,0.822,0.144
1,0.94,0.975,0.131

0,0.278,0,0.714
0.16666666666666666,0,0,1
0.3333333333333333,0,1,1
0.5,0,1,0
0.6666666666666666,1,1,0
0.8333333333333334,1,0.64,0
1,1,0,0

0,0.3686,0.3098,0.6353
0.1,0.1961,0.5333,0.7412
0.2,0.4,0.7608,0.6471
0.3,0.6706,0.8667,0.6431
0.4,0.902,0.9608,0.5961
0.5,1,1,0.749
0.6,0.9961,0.8784,0.5451
0.7,0.9922,0.6824,0.3804
0.8,0.9569,0.4275,0.2627
0.9,0.8353,0.2431,0.3098
1,0.6196,0.0039,0.2588

0,0.267,0.005,0.329
0.1,0.283,0.141,0.458
0.2,0.254,0.265,0.53
0.3,0.207,0.372,0.553
0.4,0.164,0.471,0.558
0.5,0.128,0.567,0.551
0.6,0.135,0.659,0.518
0.7,0.267,0.749,0.441
0.8,0.478,0.821,0.318
0.9,0.741,0.873,0.15
1,0.993,0.906,0.144

0,0.1647,0.2824,0.3451
0.1,0.1338,0.3555,0.4227
0.2,0.061,0.4319,0.4864
0.3,0,0.5099,0.5319
0.4,0,0.5881,0.5569
0.5,0.137,0.665,0.5614
0.6,0.2906,0.7395,0.5477
0.7,0.4453,0.8099,0.5201
0.8,0.6102,0.8748,0.485
0.9,0.7883,0.9323,0.4514
1,0.9804,0.9804,0.4314
